year,make,model,trim,exterior color,url
2025,Yamaha,MT-09,SP,BWM2,https://public.matiasbobek-dev-app.constech.io/jellybeans/2025/yamaha/mt09/jellybean-97242445-74d0-451d-9591-27a13c46d735.png
2026,Yamaha,,ZUMA125,MLB2,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/zuma125/jellybean-825f813a-e028-43a8-9f6e-5208227d836f.png
2026,Yamaha,,ZUMA125,MYNS1,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/zuma125/jellybean-35516adf-5a98-4801-aaad-f9a099ad6ef7.png
2026,Yamaha,,YZF-R7,DPBMC,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr7/jellybean-9b60c350-f056-4e49-a62c-be8d4811f146.png
2026,Yamaha,,YZF-R7,SMX,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr7/jellybean-24d883e6-9485-485e-8125-3fe0bf2b1d8a.png
2026,Yamaha,,YZF-R7,BSA,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr7/jellybean-6f0c8dbb-5ceb-45ed-856e-250830a837aa.png
2026,Yamaha,,YZF-R3,DPBMC,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr3/jellybean-aa9ae0f8-8125-42d9-8808-ce6513e1bd3c.png
2026,Yamaha,,YZF-R3,PBGS2,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr3/jellybean-b05a304b-6247-4861-947a-e75a8440bd98.png
2026,Yamaha,,YZF-R7,BWP1,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr7/jellybean-79d28ecd-3d74-4379-b900-471bda7b16d4.png
2026,Yamaha,,YZF-R9,DPBMC,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr9/jellybean-21a0d1e1-3b85-47c8-9d6f-f8b0e88de27c.png
2026,Yamaha,YZF-R3,70th,WM6,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr3/jellybean-95d7918b-4d18-44a1-8548-e91a6d79e23e.png
2026,Yamaha,,YZF-R3,WM6,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr3/jellybean-fc70a96c-a65e-45ca-b1d8-c72d1fd921c2.png
2026,Yamaha,,YZF-R9,BWP1,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yzfr9/jellybean-069c3d0f-98c4-44e4-9cf8-4894eafe5484.png
